anio;LINEA;TOTAL
2019;"624_NO APLICACION";6591
2019;"ATRIBUTO SOCIAL";183733205
2019;"ESCOLAR INICIAL Y PRIMARIO CABA";192484
2019;"ESCOLAR PRIMARIO BSAS";1309492
2019;"ESCOLAR SECUNDARIO BSAS";3576153
2019;"ESCOLAR SECUNDARIO CABA";884776
2019;"FFCC BELGRANO NORTE";16375539
2019;"FFCC BELGRANO SUR";10116012
2019;"FFCC MITRE";365803
2019;"FFCC MITRE CAPILLA DEL SEÑOR";17332
2019;"FFCC MITRE-SUAREZ";16117182
2019;"FFCC MITRE-TIGRE";16695732
2019;"FFCC MITRE-ZARATE";37684
2019;"FFCC ROCA";101490327
2019;"FFCC SAN MARTIN";17983125
2019;"FFCC SARMIENTO";53005152
2019;"FFCC TREN DE LA COSTA";372794
2019;"FFCC URQUIZA";15617193
2019;FFCC_ROCA_CAÑUELAS-LOBOS;17282
2019;FFCC_ROCA_CAÑUELAS-MONTE;25101
2019;FFCC_ROCA_KORN-CHASCOMUS;63821
2019;FFCC_ROCA_UNIVERSITARIO;234475
2019;"LINEA 061";2205816
2019;"LINEA 1";2548729
2019;"LINEA 10";5322587
2019;"LINEA 100";7467403
2019;"LINEA 101";7931687
2019;"LINEA 102";4653833
2019;"LINEA 103";5070585
2019;"LINEA 104";1
2019;"LINEA 105";6281367
2019;"LINEA 106";7469094
2019;"LINEA 107";6630892
2019;"LINEA 108";3783209
2019;"LINEA 109";5037913
2019;"LINEA 110";7270424
2019;"LINEA 111";4659126
2019;"LINEA 112";205353
2019;"LINEA 113";6187850
2019;"LINEA 114";5684849
2019;"LINEA 115";4022455
2019;"LINEA 117";6732386
2019;"LINEA 118";4799314
2019;"LINEA 12";10534069
2019;"LINEA 123";2330137
2019;"LINEA 124";5587226
2019;"LINEA 126";7893093
2019;"LINEA 127";4230486
2019;"LINEA 128";4268488
2019;"LINEA 129";7420061
2019;"LINEA 130";9362459
2019;"LINEA 132";11783676
2019;"LINEA 133";4805820
2019;"LINEA 134";5184451
2019;"LINEA 135";5297370
2019;"LINEA 136 BS AS";3747259
2019;"LINEA 140";4355477
2019;"LINEA 141";4565364
2019;"LINEA 143";4049269
2019;"LINEA 146";5702607
2019;"LINEA 148";14575935
2019;"LINEA 15";11623082
2019;"LINEA 150";4110943
2019;"LINEA 151";5941436
2019;"LINEA 152";17011398
2019;"LINEA 153 BS AS";2189494
2019;"LINEA 154";951384
2019;"LINEA 158";3110807
2019;"LINEA 159";14157973
2019;"LINEA 160";10450305
2019;"LINEA 161";9772433
2019;"LINEA 163 BS AS";2649633
2019;"LINEA 165";696437
2019;"LINEA 166";7828396
2019;"LINEA 168";8459582
2019;"LINEA 169";3278680
2019;"LINEA 17";8138278
2019;"LINEA 172";3512820
2019;"LINEA 174 BS AS";5178509
2019;"LINEA 175";2584348
2019;"LINEA 176";13722497
2019;"LINEA 177";4996331
2019;"LINEA 178";9521160
2019;"LINEA 179";3093645
2019;"LINEA 180";12224839
2019;"LINEA 181";4790198
2019;"LINEA 182";7803758
2019;"LINEA 184";3486949
2019;"LINEA 185";2321241
2019;"LINEA 188";5959440
2019;"LINEA 19";4474767
2019;"LINEA 193";1183683
2019;"LINEA 194";4286654
2019;"LINEA 195";1970498
2019;"LINEA 2";5955732
2019;"LINEA 20";2697914
2019;"LINEA 200";677279
2019;"LINEA 202";7487873
2019;"LINEA 203";25007910
2019;"LINEA 204";1520040
2019;"LINEA 204B";1336589
2019;"LINEA 205";2248124
2019;"LINEA 21";13765563
2019;"LINEA 214";4186373
2019;"LINEA 215";1422823
2019;"LINEA 218";6266544
2019;"LINEA 219";4662954
2019;"LINEA 22";4199122
2019;"LINEA 222";888793
2019;"LINEA 225";254742
2019;"LINEA 228 B";1439528
2019;"LINEA 228A";182317
2019;"LINEA 228C";1454321
2019;"LINEA 228E";1715196
2019;"LINEA 228F";2278215
2019;"LINEA 23";2290344
2019;"LINEA 236";17421104
2019;"LINEA 237A";10846254
2019;"LINEA 238";3793701
2019;"LINEA 239A";3331341
2019;"LINEA 239B";1546690
2019;"LINEA 24";8411474
2019;"LINEA 242";15417680
2019;"LINEA 243";78057
2019;"LINEA 244";2024893
2019;"LINEA 245";1365734
2019;"LINEA 247";8916045
2019;"LINEA 25";3881303
2019;"LINEA 252";3794813
2019;"LINEA 253 BS AS";434226
2019;"LINEA 256";80759
2019;"LINEA 257";6892407
2019;"LINEA 26";5609536
2019;"LINEA 263A";1776312
2019;"LINEA 263B";2503025
2019;"LINEA 264";2986983
2019;"LINEA 266";13835254
2019;"LINEA 269";11165427
2019;"LINEA 271";6102417
2019;"LINEA 273";8197710
2019;"LINEA 275";5042898
2019;"LINEA 276";6963437
2019;"LINEA 277";1643458
2019;"LINEA 278";8461341
2019;"LINEA 28";16162904
2019;"LINEA 281";3384196
2019;"LINEA 283";5765728
2019;"LINEA 284";1677071
2019;"LINEA 288";2756173
2019;"LINEA 289";3822726
2019;"LINEA 29";7097013
2019;"LINEA 291";4425560
2019;"LINEA 293A";2981920
2019;"LINEA 293B";1975226
2019;"LINEA 295";3812662
2019;"LINEA 297";3023269
2019;"LINEA 298";5240455
2019;"LINEA 299";3764518
2019;"LINEA 300";3718256
2019;"LINEA 302";3723478
2019;"LINEA 303";5688736
2019;"LINEA 304";7120821
2019;"LINEA 306";10423110
2019;"LINEA 307";7002323
2019;"LINEA 31";7800535
2019;"LINEA 310";1314822
2019;"LINEA 311";5662479
2019;"LINEA 312";3479250
2019;"LINEA 313";579527
2019;"LINEA 314";8538631
2019;"LINEA 315";4236489
2019;"LINEA 317 BS AS";4127297
2019;"LINEA 318";11915661
2019;"LINEA 32";2667856
2019;"LINEA 320";994386
2019;"LINEA 321 BS AS";1402917
2019;"LINEA 322 BS AS";3049536
2019;"LINEA 323";4341141
2019;"LINEA 324";16806181
2019;"LINEA 325";2359299
2019;"LINEA 326";2601145
2019;"LINEA 327";3826294
2019;"LINEA 328";5388101
2019;"LINEA 329";2745440
2019;"LINEA 33";8109626
2019;"LINEA 333A";3375857
2019;"LINEA 336";1066017
2019;"LINEA 338";11880089
2019;"LINEA 34";8648902
2019;"LINEA 341";8604819
2019;"LINEA 343";8133880
2019;"LINEA 350";4013619
2019;"LINEA 354";6180738
2019;"LINEA 355";399356
2019;"LINEA 36";1272811
2019;"LINEA 365";17020851
2019;"LINEA 37";8211510
2019;"LINEA 370";2029791
2019;"LINEA 371";6837744
2019;"LINEA 372";1134787
2019;"LINEA 373";3006497
2019;"LINEA 378";8026338
2019;"LINEA 379";263700
2019;"LINEA 382";4227845
2019;"LINEA 383";3625124
2019;"LINEA 384";1426817
2019;"LINEA 385";2694731
2019;"LINEA 386";866357
2019;"LINEA 388";1039025
2019;"LINEA 39";10289652
2019;"LINEA 390";1987590
2019;"LINEA 391";5090123
2019;"LINEA 392";1240659
2019;"LINEA 394";4354572
2019;"LINEA 395";3761498
2019;"LINEA 4";4505185
2019;"LINEA 403";118944
2019;"LINEA 404";5749308
2019;"LINEA 405";3162291
2019;"LINEA 406";5426125
2019;"LINEA 407";2965936
2019;"LINEA 41";7913693
2019;"LINEA 410";1942565
2019;"LINEA 414";293449
2019;"LINEA 418";468058
2019;"LINEA 42";5683804
2019;"LINEA 421";583256
2019;"LINEA 422";5679848
2019;"LINEA 429";342829
2019;"LINEA 430";630731
2019;"LINEA 435";652320
2019;"LINEA 436";891488
2019;"LINEA 437";2641586
2019;"LINEA 44";5295177
2019;"LINEA 440";18738926
2019;"LINEA 441";3429568
2019;"LINEA 443";286230
2019;"LINEA 443A";1762579
2019;"LINEA 445";1567399
2019;"LINEA 446";6
2019;"LINEA 448";9238189
2019;"LINEA 449";3749723
2019;"LINEA 45";5889972
2019;"LINEA 452 LANCHAS";6054
2019;"LINEA 46";4581069
2019;"LINEA 461";649068
2019;"LINEA 462";490388
2019;"LINEA 463";3559545
2019;"LINEA 464";2142299
2019;"LINEA 47";5625149
2019;"LINEA 49";2228291
2019;"LINEA 5";5878101
2019;"LINEA 50";4715611
2019;"LINEA 500";8140404
2019;"LINEA 500-503";302255
2019;"LINEA 500B";264841
2019;"LINEA 500C";399265
2019;"LINEA 500D";10240961
2019;"LINEA 500H";1063222
2019;"LINEA 501 A";10212323
2019;"LINEA 501B";2881516
2019;"LINEA 501C";17701575
2019;"LINEA 501D";379948
2019;"LINEA 501E";651841
2019;"LINEA 501F";1374943
2019;"LINEA 501G";31492569
2019;"LINEA 501H";307392
2019;"LINEA 501I";2123238
2019;"LINEA 502";103832
