anio;EMPRESA;TOTAL
09/2019;"17 DE AGOSTO S.A.";869675
09/2019;"4 DE SEPTIEMBRE S.A.T.C.P.";1240727
09/2019;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";4027696
09/2019;"ALMAFUERTE S.A.T.A.C.I.";903066
09/2019;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";1026033
09/2019;"AUTOBUSES BUENOS AIRES SRL";1597589
09/2019;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";4879180
09/2019;"BERNARDINO RIVADAVIA S.A.T.A.";1853568
09/2019;"BUENOS AIRES BUS SOCIEDAD ANONIMA";328406
09/2019;"BUS DEL OESTE S.A.";378286
09/2019;"CARDENAS S.A. EMPRESA DE TRANSPORTES";1193818
09/2019;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";1073658
09/2019;"CIA LA PAZ AMADOR MOURE SACIFIYA";251555
09/2019;"COLECTIVEROS UNIDOS S.A.";1655822
09/2019;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";4100149
09/2019;"COMPAÑIA ISLEÑA S.R.L.";4226057
09/2019;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";1836156
09/2019;"COMPAÑIA NOROESTE S.A.T.";2863348
09/2019;"COMPAÑIA  DE TRANSPORTE VECINAL S.A.";538233
09/2019;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";70505
09/2019;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";4473142
09/2019;"D.U.V.I. SOCIEDAD ANONIMA";887454
09/2019;"EL NUEVO HALCON S.A.";2196541
09/2019;"EL PUENTE S.A.T.";1775625
09/2019;"EL URBANO SRL";184584
09/2019;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";1054463
09/2019;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";1351576
09/2019;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";1332856
09/2019;"EMPRESA 501 SA";1515043
09/2019;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";659294
09/2019;"EMPRESA CINCO DE AGOSTO S.R.L.";300982
09/2019;"EMPRESA CIUDAD DE SAN FERNANDO SA";2434961
09/2019;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";2621398
09/2019;"EMPRESA DE TRANSPORTE DEL SUR SRL";2555253
09/2019;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";944166
09/2019;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";1593597
09/2019;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";41463
09/2019;"EMPRESA DEL OESTE SAT";3508774
09/2019;"EMPRESA J.M. EZEIZA S.R.L.";1212306
09/2019;"EMPRESA LINEA 216 S.A.T.";8769217
