anio;LINEA;TOTAL
09/2019;"FFCC BELGRANO NORTE";2336884
09/2019;"FFCC BELGRANO SUR";1579401
09/2019;"FFCC MITRE";51630
09/2019;"FFCC MITRE CAPILLA DEL SEÑOR";4443
09/2019;"FFCC MITRE-SUAREZ";2401762
09/2019;"FFCC MITRE-TIGRE";3083834
09/2019;"FFCC MITRE-ZARATE";4962
09/2019;"FFCC ROCA";15290431
09/2019;"FFCC SAN MARTIN";3230455
09/2019;"FFCC SARMIENTO";8099863
09/2019;"FFCC TREN DE LA COSTA";37754
09/2019;"FFCC URQUIZA";2157717
09/2019;FFCC_ROCA_CAÑUELAS-LOBOS;4290
09/2019;FFCC_ROCA_CAÑUELAS-MONTE;4983
09/2019;FFCC_ROCA_KORN-CHASCOMUS;5439
09/2019;FFCC_ROCA_UNIVERSITARIO;35676
09/2019;"LINEA 061";338111
09/2019;"LINEA 1";390163
09/2019;"LINEA 10";803401
09/2019;"LINEA 100";1135829
09/2019;"LINEA 101";1214525
09/2019;"LINEA 102";706252
09/2019;"LINEA 103";771088
09/2019;"LINEA 105";944166
09/2019;"LINEA 106";1161703
09/2019;"LINEA 107";1040011
09/2019;"LINEA 108";569799
09/2019;"LINEA 109";766268
09/2019;"LINEA 110";1118173
09/2019;"LINEA 111";733390
09/2019;"LINEA 113";977973
09/2019;"LINEA 114";883053
09/2019;"LINEA 115";618200
09/2019;"LINEA 117";1014980
09/2019;"LINEA 118";740775
09/2019;"LINEA 12";1562208
09/2019;"LINEA 123";356734
09/2019;"LINEA 124";831072
09/2019;"LINEA 126";1193818
09/2019;"LINEA 127";654566
09/2019;"LINEA 128";640648
09/2019;"LINEA 129";1192242
09/2019;"LINEA 130";1424484
09/2019;"LINEA 132";1793028
09/2019;"LINEA 133";729378
09/2019;"LINEA 134";790231
09/2019;"LINEA 135";811966
09/2019;"LINEA 136 BS AS";573727
09/2019;"LINEA 140";661222
09/2019;"LINEA 141";664767
09/2019;"LINEA 143";654095
09/2019;"LINEA 146";879807
09/2019;"LINEA 148";2196541
09/2019;"LINEA 15";1688891
09/2019;"LINEA 150";611117
09/2019;"LINEA 151";912274
09/2019;"LINEA 152";2542080
09/2019;"LINEA 153 BS AS";320621
09/2019;"LINEA 154";151483
09/2019;"LINEA 158";465621
09/2019;"LINEA 159";2181685
09/2019;"LINEA 160";1634545
09/2019;"LINEA 161";1505691
09/2019;"LINEA 163 BS AS";414914
09/2019;"LINEA 166";1129630
09/2019;"LINEA 168";1298994
09/2019;"LINEA 169";502530
09/2019;"LINEA 17";1229224
09/2019;"LINEA 172";524086
09/2019;"LINEA 174 BS AS";795264
09/2019;"LINEA 175";393964
09/2019;"LINEA 176";2139598
09/2019;"LINEA 177";777340
09/2019;"LINEA 178";1438341
09/2019;"LINEA 179";480607
09/2019;"LINEA 180";1839051
09/2019;"LINEA 181";733396
09/2019;"LINEA 182";1187382
09/2019;"LINEA 184";507271
09/2019;"LINEA 185";362494
09/2019;"LINEA 188";908847
09/2019;"LINEA 19";655824
09/2019;"LINEA 193";169129
09/2019;"LINEA 194";658135
09/2019;"LINEA 195";311128
09/2019;"LINEA 2";893669
09/2019;"LINEA 20";433112
09/2019;"LINEA 200";109313
09/2019;"LINEA 202";1154228
09/2019;"LINEA 203";3670024
09/2019;"LINEA 204";235910
09/2019;"LINEA 204B";236604
09/2019;"LINEA 205";345378
09/2019;"LINEA 21";2051599
09/2019;"LINEA 214";653535
09/2019;"LINEA 215";222912
09/2019;"LINEA 218";996089
09/2019;"LINEA 219";701345
09/2019;"LINEA 22";641442
09/2019;"LINEA 222";139105
09/2019;"LINEA 225";39290
09/2019;"LINEA 228 B";215466
09/2019;"LINEA 228A";26992
09/2019;"LINEA 228C";215040
09/2019;"LINEA 228E";250020
09/2019;"LINEA 228F";333406
09/2019;"LINEA 23";360270
09/2019;"LINEA 236";2579409
09/2019;"LINEA 237A";1681864
09/2019;"LINEA 238";593000
09/2019;"LINEA 239A";507268
09/2019;"LINEA 239B";249111
09/2019;"LINEA 24";1332856
09/2019;"LINEA 242";2345146
09/2019;"LINEA 244";308649
09/2019;"LINEA 245";227601
09/2019;"LINEA 247";1354944
09/2019;"LINEA 25";594197
09/2019;"LINEA 252";583103
09/2019;"LINEA 253 BS AS";68782
09/2019;"LINEA 257";1047316
09/2019;"LINEA 26";869675
09/2019;"LINEA 263A";265938
09/2019;"LINEA 263B";385411
09/2019;"LINEA 264";454604
09/2019;"LINEA 266";2115883
09/2019;"LINEA 269";1652001
09/2019;"LINEA 271";963475
09/2019;"LINEA 273";1266184
09/2019;"LINEA 275";762139
09/2019;"LINEA 276";1079999
09/2019;"LINEA 277";251555
09/2019;"LINEA 278";1302053
09/2019;"LINEA 28";2465245
09/2019;"LINEA 281";514202
09/2019;"LINEA 283";873878
09/2019;"LINEA 284";263709
09/2019;"LINEA 288";407310
09/2019;"LINEA 289";563182
09/2019;"LINEA 29";1054463
09/2019;"LINEA 291";659583
09/2019;"LINEA 293A";456447
09/2019;"LINEA 293B";308849
09/2019;"LINEA 295";570859
09/2019;"LINEA 297";468567
09/2019;"LINEA 298";798757
09/2019;"LINEA 299";578827
09/2019;"LINEA 300";572198
09/2019;"LINEA 302";562213
09/2019;"LINEA 303";859776
09/2019;"LINEA 304";1089540
09/2019;"LINEA 306";1663915
09/2019;"LINEA 307";1081801
09/2019;"LINEA 31";1182663
09/2019;"LINEA 310";199082
09/2019;"LINEA 311";898241
09/2019;"LINEA 312";538582
09/2019;"LINEA 313";87889
09/2019;"LINEA 314";1291207
09/2019;"LINEA 315";662787
09/2019;"LINEA 317 BS AS";643938
09/2019;"LINEA 318";1763261
09/2019;"LINEA 32";410486
09/2019;"LINEA 320";150837
09/2019;"LINEA 321 BS AS";215012
09/2019;"LINEA 322 BS AS";464468
09/2019;"LINEA 323";668363
09/2019;"LINEA 324";2563572
09/2019;"LINEA 325";342612
09/2019;"LINEA 326";404457
09/2019;"LINEA 327";654820
09/2019;"LINEA 328";826282
09/2019;"LINEA 329";424310
09/2019;"LINEA 33";1240280
09/2019;"LINEA 333A";530404
09/2019;"LINEA 336";160896
09/2019;"LINEA 338";1816861
09/2019;"LINEA 34";1313231
09/2019;"LINEA 341";1277497
