anio;MODO;TOTAL
09/2019;COLECTIVO;269649813
09/2019;SUBTE;29509183
09/2019;TREN;38464841
08/2019;COLECTIVO;272608059
08/2019;SUBTE;30052265
08/2019;TREN;38694027
07/2019;COLECTIVO;254997599
07/2019;SUBTE;29045814
07/2019;TREN;37026072
06/2019;COLECTIVO;243428605
06/2019;SUBTE;26327824
06/2019;TREN;33246966
05/2019;COLECTIVO;266861975
05/2019;SUBTE;29364056
05/2019;TREN;36763985
04/2019;COLECTIVO;254575504
04/2019;SUBTE;27036653
04/2019;TREN;34038641
03/2019;COLECTIVO;258536746
03/2019;SUBTE;26901617
03/2019;TREN;34270425
02/2019;COLECTIVO;212986343
02/2019;SUBTE;22959217
02/2019;TREN;31153459
01/2019;COLECTIVO;216538134
01/2019;SUBTE;22645772
01/2019;TREN;31951700
12/2018;COLECTIVO;250236326
12/2018;SUBTE;25686111
12/2018;TREN;32571396
11/2018;COLECTIVO;273623609
11/2018;SUBTE;28296266
11/2018;TREN;35271222
10/2018;COLECTIVO;295043315
10/2018;SUBTE;32409946
10/2018;TREN;39717694
09/2018;COLECTIVO;266458683
09/2018;SUBTE;28559738
09/2018;TREN;35154027
08/2018;COLECTIVO;291109881
08/2018;SUBTE;32975734
08/2018;TREN;38123027
07/2018;COLECTIVO;261560541
07/2018;SUBTE;30428613
07/2018;TREN;33151127
06/2018;COLECTIVO;270752722
06/2018;SUBTE;29474234
06/2018;TREN;32525665
05/2018;COLECTIVO;295204567
05/2018;SUBTE;29710697
05/2018;TREN;36365831
04/2018;COLECTIVO;275492932
04/2018;SUBTE;28971785
04/2018;TREN;35165817
03/2018;COLECTIVO;293115883
03/2018;SUBTE;29054341
03/2018;TREN;36546566
02/2018;COLECTIVO;221879322
02/2018;SUBTE;21826702
02/2018;TREN;28390412
01/2018;COLECTIVO;237559216
01/2018;SUBTE;22614621
01/2018;TREN;29575302
12/2017;COLECTIVO;266926474
12/2017;SUBTE;25516079
12/2017;TREN;30566288
11/2017;COLECTIVO;295965666
11/2017;SUBTE;29839779
11/2017;TREN;34912647
10/2017;COLECTIVO;301167212
10/2017;SUBTE;30320003
10/2017;TREN;34553565
09/2017;COLECTIVO;293191270
09/2017;SUBTE;29705059
09/2017;TREN;33063420
08/2017;COLECTIVO;296492999
08/2017;SUBTE;30284839
08/2017;TREN;33167743
07/2017;COLECTIVO;271398942
07/2017;SUBTE;27972088
07/2017;TREN;30410143
06/2017;COLECTIVO;279074098
06/2017;SUBTE;28351871
06/2017;TREN;29468699
05/2017;COLECTIVO;288688191
05/2017;SUBTE;28674949
05/2017;TREN;30369349
04/2017;COLECTIVO;264776120
04/2017;SUBTE;24811516
04/2017;TREN;27349166
03/2017;COLECTIVO;292351291
03/2017;SUBTE;27630999
03/2017;TREN;30709644
02/2017;COLECTIVO;218522270
02/2017;SUBTE;17178401
02/2017;TREN;22339109
01/2017;COLECTIVO;234440826
01/2017;SUBTE;17784989
01/2017;TREN;24221252
12/2016;COLECTIVO;269244609
12/2016;SUBTE;23236507
12/2016;TREN;26443498
11/2016;COLECTIVO;287530183
11/2016;SUBTE;27205072
11/2016;TREN;28377258
10/2016;COLECTIVO;288856280
10/2016;SUBTE;28308191
10/2016;TREN;27253532
09/2016;COLECTIVO;292972263
09/2016;SUBTE;29360762
09/2016;TREN;25567667
08/2016;COLECTIVO;301070224
08/2016;SUBTE;29406145
08/2016;TREN;25613048
07/2016;COLECTIVO;270416781
07/2016;SUBTE;25712326
07/2016;TREN;22756848
06/2016;COLECTIVO;285881668
06/2016;SUBTE;25516689
06/2016;TREN;22774222
05/2016;COLECTIVO;297666627
05/2016;SUBTE;26310593
05/2016;TREN;24506717
04/2016;COLECTIVO;293676088
04/2016;SUBTE;24599570
04/2016;TREN;24193894
03/2016;COLECTIVO;315213905
03/2016;SUBTE;22582344
03/2016;TREN;24439403
02/2016;COLECTIVO;245218982
02/2016;SUBTE;16935566
02/2016;TREN;19717351
01/2016;COLECTIVO;242553686
01/2016;SUBTE;16281434
01/2016;TREN;19728996
