DIA_TRANSPORTE,"AMBA","MOTIVO_ATSF","GENERO","TIPO_TRANSPORTE",CANT_TRJ,"DATO_PRELIMINAR"
2022-01-01,"NO",,,"COLECTIVO",48303,"NO"
2022-01-01,"NO",,,"LANCHA",2,"NO"
2022-01-01,"NO",,,"SUBTE",0,"NO"
2022-01-01,"NO",,,"TOTAL",48305,"NO"
2022-01-01,"NO",,,"TREN",1,"NO"
2022-01-01,"NO",,"F","COLECTIVO",22347,"NO"
2022-01-01,"NO",,"F","LANCHA",1,"NO"
2022-01-01,"NO",,"F","SUBTE",0,"NO"
2022-01-01,"NO",,"F","TOTAL",22348,"NO"
2022-01-01,"NO",,"F","TREN",0,"NO"
2022-01-01,"NO",,"M","COLECTIVO",20366,"NO"
2022-01-01,"NO",,"M","LANCHA",4,"NO"
2022-01-01,"NO",,"M","SUBTE",0,"NO"
2022-01-01,"NO",,"M","TOTAL",20370,"NO"
2022-01-01,"NO",,"M","TREN",0,"NO"
2022-01-01,"NO","AUH","F","COLECTIVO",10432,"NO"
2022-01-01,"NO","AUH","F","LANCHA",0,"NO"
2022-01-01,"NO","AUH","F","SUBTE",0,"NO"
2022-01-01,"NO","AUH","F","TOTAL",10432,"NO"
2022-01-01,"NO","AUH","F","TREN",0,"NO"
2022-01-01,"NO","AUH","M","COLECTIVO",331,"NO"
2022-01-01,"NO","AUH","M","LANCHA",0,"NO"
2022-01-01,"NO","AUH","M","SUBTE",0,"NO"
2022-01-01,"NO","AUH","M","TOTAL",331,"NO"
2022-01-01,"NO","AUH","M","TREN",0,"NO"
2022-01-01,"NO","JUBILACION","F","COLECTIVO",7523,"NO"
2022-01-01,"NO","JUBILACION","F","LANCHA",1,"NO"
2022-01-01,"NO","JUBILACION","F","SUBTE",0,"NO"
2022-01-01,"NO","JUBILACION","F","TOTAL",7524,"NO"
2022-01-01,"NO","JUBILACION","F","TREN",0,"NO"
2022-01-01,"NO","JUBILACION","M","COLECTIVO",3882,"NO"
2022-01-01,"NO","JUBILACION","M","LANCHA",0,"NO"
2022-01-01,"NO","JUBILACION","M","SUBTE",0,"NO"
2022-01-01,"NO","JUBILACION","M","TOTAL",3882,"NO"
2022-01-01,"NO","JUBILACION","M","TREN",0,"NO"
2022-01-01,"NO","MONOTRIBUTO SOCIAL","F","COLECTIVO",944,"NO"
2022-01-01,"NO","MONOTRIBUTO SOCIAL","F","LANCHA",0,"NO"
2022-01-01,"NO","MONOTRIBUTO SOCIAL","F","SUBTE",0,"NO"
2022-01-01,"NO","MONOTRIBUTO SOCIAL","F","TOTAL",944,"NO"
2022-01-01,"NO","MONOTRIBUTO SOCIAL","F","TREN",0,"NO"
2022-01-01,"NO","MONOTRIBUTO SOCIAL","M","COLECTIVO",585,"NO"
2022-01-01,"NO","MONOTRIBUTO SOCIAL","M","LANCHA",0,"NO"
2022-01-01,"NO","MONOTRIBUTO SOCIAL","M","SUBTE",0,"NO"
2022-01-01,"NO","MONOTRIBUTO SOCIAL","M","TOTAL",585,"NO"
2022-01-01,"NO","MONOTRIBUTO SOCIAL","M","TREN",0,"NO"
2022-01-01,"NO","OTRO","F","COLECTIVO",1232,"NO"
2022-01-01,"NO","OTRO","F","LANCHA",0,"NO"
2022-01-01,"NO","OTRO","F","SUBTE",0,"NO"
2022-01-01,"NO","OTRO","F","TOTAL",1232,"NO"
2022-01-01,"NO","OTRO","F","TREN",0,"NO"
2022-01-01,"NO","OTRO","M","COLECTIVO",882,"NO"
2022-01-01,"NO","OTRO","M","LANCHA",0,"NO"
2022-01-01,"NO","OTRO","M","SUBTE",0,"NO"
2022-01-01,"NO","OTRO","M","TOTAL",882,"NO"
2022-01-01,"NO","OTRO","M","TREN",0,"NO"
2022-01-01,"NO","PENSION","F","COLECTIVO",5149,"NO"
2022-01-01,"NO","PENSION","F","LANCHA",2,"NO"
2022-01-01,"NO","PENSION","F","SUBTE",0,"NO"
2022-01-01,"NO","PENSION","F","TOTAL",5151,"NO"
2022-01-01,"NO","PENSION","F","TREN",0,"NO"
2022-01-01,"NO","PENSION","M","COLECTIVO",3079,"NO"
2022-01-01,"NO","PENSION","M","LANCHA",1,"NO"
2022-01-01,"NO","PENSION","M","SUBTE",0,"NO"
2022-01-01,"NO","PENSION","M","TOTAL",3080,"NO"
2022-01-01,"NO","PENSION","M","TREN",0,"NO"
2022-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","COLECTIVO",2785,"NO"
2022-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","LANCHA",0,"NO"
2022-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","SUBTE",0,"NO"
2022-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","TOTAL",2785,"NO"
2022-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","TREN",0,"NO"
2022-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","COLECTIVO",39,"NO"
2022-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","LANCHA",0,"NO"
2022-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","SUBTE",0,"NO"
2022-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","TOTAL",39,"NO"
2022-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","TREN",0,"NO"
2022-01-01,"NO","PROGRESAR","F","COLECTIVO",3794,"NO"
2022-01-01,"NO","PROGRESAR","F","LANCHA",0,"NO"
2022-01-01,"NO","PROGRESAR","F","SUBTE",0,"NO"
2022-01-01,"NO","PROGRESAR","F","TOTAL",3794,"NO"
2022-01-01,"NO","PROGRESAR","F","TREN",0,"NO"
2022-01-01,"NO","PROGRESAR","M","COLECTIVO",1977,"NO"
2022-01-01,"NO","PROGRESAR","M","LANCHA",0,"NO"
2022-01-01,"NO","PROGRESAR","M","SUBTE",0,"NO"
2022-01-01,"NO","PROGRESAR","M","TOTAL",1977,"NO"
2022-01-01,"NO","PROGRESAR","M","TREN",0,"NO"
2022-01-01,"SI",,,"COLECTIVO",198139,"NO"
2022-01-01,"SI",,,"LANCHA",0,"NO"
2022-01-01,"SI",,,"SUBTE",18298,"NO"
2022-01-01,"SI",,,"TOTAL",212797,"NO"
2022-01-01,"SI",,,"TREN",22448,"NO"
2022-01-01,"SI",,"F","COLECTIVO",85428,"NO"
2022-01-01,"SI",,"F","LANCHA",0,"NO"
2022-01-01,"SI",,"F","SUBTE",6694,"NO"
2022-01-01,"SI",,"F","TOTAL",90816,"NO"
2022-01-01,"SI",,"F","TREN",10427,"NO"
2022-01-01,"SI",,"M","COLECTIVO",90158,"NO"
2022-01-01,"SI",,"M","LANCHA",0,"NO"
2022-01-01,"SI",,"M","SUBTE",8300,"NO"
2022-01-01,"SI",,"M","TOTAL",96349,"NO"
2022-01-01,"SI",,"M","TREN",12397,"NO"
2022-01-01,"SI","AUH","F","COLECTIVO",37477,"NO"
2022-01-01,"SI","AUH","F","LANCHA",0,"NO"
2022-01-01,"SI","AUH","F","SUBTE",967,"NO"
2022-01-01,"SI","AUH","F","TOTAL",38111,"NO"
2022-01-01,"SI","AUH","F","TREN",3013,"NO"
2022-01-01,"SI","AUH","M","COLECTIVO",1652,"NO"
2022-01-01,"SI","AUH","M","LANCHA",0,"NO"
2022-01-01,"SI","AUH","M","SUBTE",48,"NO"
2022-01-01,"SI","AUH","M","TOTAL",1685,"NO"
2022-01-01,"SI","AUH","M","TREN",157,"NO"
