PERIODO;MODO; Suma de CANTIDAD ;ACTUALIZACION
201301;COLECTIVO;235.035.085;201903
201301;SUBTE;42.133;201903
201301;TREN;710.787;201903
201302;COLECTIVO;223.071.496;201903
201302;SUBTE;41.476;201903
201302;TREN;564.759;201903
201303;COLECTIVO;286.497.505;201903
201303;SUBTE;19.273;201903
201303;TREN;1.423.641;201903
201304;COLECTIVO;295.329.151;201903
201304;SUBTE;4.277;201903
201304;TREN;4.117.321;201903
201305;COLECTIVO;305.300.390;201903
201305;SUBTE;1.149;201903
201305;TREN;6.104.617;201903
201306;COLECTIVO;283.056.940;201903
201306;SUBTE;2.136;201903
201306;TREN;6.197.585;201903
201307;COLECTIVO;288.393.210;201903
201307;SUBTE;26.434;201903
201307;TREN;11.183.066;201903
201308;COLECTIVO;309.577.185;201903
201308;SUBTE;895.319;201903
201308;TREN;12.695.635;201903
201309;COLECTIVO;293.668.803;201903
201309;SUBTE;4.397.739;201903
201309;TREN;11.965.672;201903
201310;COLECTIVO;321.953.966;201903
201310;SUBTE;14.987.901;201903
201310;TREN;14.148.324;201903
201311;COLECTIVO;300.433.245;201903
201311;SUBTE;17.479.796;201903
201311;TREN;13.206.706;201903
201312;COLECTIVO;278.067.018;201903
201312;SUBTE;16.022.739;201903
201312;TREN;11.649.592;201903
201401;COLECTIVO;228.116.279;201903
201401;SUBTE;13.733.022;201903
201401;TREN;12.465.406;201903
201402;COLECTIVO;226.398.512;201903
201402;SUBTE;14.802.040;201903
201402;TREN;12.699.412;201903
201403;COLECTIVO;261.051.476;201903
201403;SUBTE;16.761.872;201903
201403;TREN;14.038.465;201903
201404;COLECTIVO;275.154.957;201903
201404;SUBTE;17.330.374;201903
201404;TREN;14.580.525;201903
201405;COLECTIVO;296.599.840;201903
201405;SUBTE;18.580.858;201903
201405;TREN;14.416.877;201903
201406;COLECTIVO;287.106.739;201903
201406;SUBTE;16.164.657;201903
201406;TREN;15.127.133;201903
201407;COLECTIVO;277.636.155;201903
201407;SUBTE;18.896.374;201903
201407;TREN;16.334.614;201903
201408;COLECTIVO;286.584.135;201903
201408;SUBTE;18.543.538;201903
201408;TREN;16.839.292;201903
201409;COLECTIVO;302.252.952;201903
201409;SUBTE;20.599.906;201903
201409;TREN;19.576.519;201903
201410;COLECTIVO;307.462.498;201903
201410;SUBTE;21.106.866;201903
201410;TREN;19.984.509;201903
201411;COLECTIVO;282.265.266;201903
201411;SUBTE;18.862.374;201903
201411;TREN;17.895.316;201903
201412;COLECTIVO;276.991.677;201903
201412;SUBTE;17.871.028;201903
201412;TREN;18.702.802;201903
201501;COLECTIVO;232.632.592;201903
201501;SUBTE;14.829.917;201903
201501;TREN;16.967.284;201903
201502;COLECTIVO;230.139.596;201903
201502;SUBTE;15.422.962;201903
201502;TREN;16.716.727;201903
201503;COLECTIVO;285.346.357;201903
201503;SUBTE;19.373.619;201903
201503;TREN;19.841.415;201903
201504;COLECTIVO;305.279.702;201903
201504;SUBTE;21.843.581;201903
201504;TREN;22.384.594;201903
201505;COLECTIVO;298.425.808;201903
201505;SUBTE;21.552.877;201903
