PERIODO;MODO;JURISDICCION;GRUPO TARIFARIO;EMPRESA;LINEA;Suma de CANTIDAD;ACTUALIZACION
201301;COLECTIVO;MUNICIPAL;-;AUTOBUSES SANTA FE S.R.L;LINEA 540;12125;201903
201301;COLECTIVO;MUNICIPAL;-;AUTOBUSES SANTA FE S.R.L;LINEA 540A;582547;201903
201301;COLECTIVO;MUNICIPAL;-;AUTOBUSES SANTA FE S.R.L;LINEA 550;890;201903
201301;COLECTIVO;MUNICIPAL;-;AUTOBUSES SANTA FE S.R.L;LINEA 550A;217745;201903
201301;COLECTIVO;MUNICIPAL;-;AUTOBUSES SANTA FE S.R.L;LINEA 552A;295326;201903
201301;COLECTIVO;MUNICIPAL;-;AUTOBUSES SANTA FE S.R.L;LINEA 553A;272448;201903
201301;COLECTIVO;MUNICIPAL;-;CONSULTORES ASOCIADOS ECOTRANS S.A.;LINEA 503A;735940;201903
201301;COLECTIVO;MUNICIPAL;-;CONSULTORES ASOCIADOS ECOTRANS S.A.;LINEA 635;141755;201903
201301;COLECTIVO;MUNICIPAL;-;COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA;LINEA 500E;2559;201903
201301;COLECTIVO;MUNICIPAL;-;COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA;LINEA 503F;91696;201903
201301;COLECTIVO;MUNICIPAL;-;EL NUEVO CEIBO S.R.L.;LINEA 500A;390545;201903
201301;COLECTIVO;MUNICIPAL;-;EMPRESA LINEA SIETE SAT;LINEA 503G;682572;201903
201301;COLECTIVO;MUNICIPAL;-;EMPRESA LINEA SIETE SAT;LINEA 506E;208546;201903
201301;COLECTIVO;MUNICIPAL;-;EMPRESA LINEA SIETE SAT;LINEA 518B;4677;201903
201301;COLECTIVO;MUNICIPAL;-;EMPRESA NUEVE DE JULIO S.A.T.;LINEA NORTE;307236;201903
201301;COLECTIVO;MUNICIPAL;-;EXPRESO MALVINAS ARGENTINAS SRL;LINEA 561;124197;201903
201301;COLECTIVO;MUNICIPAL;-;EXPRESO MALVINAS ARGENTINAS SRL;LINEA 562;209777;201903
201301;COLECTIVO;MUNICIPAL;-;MICRO OMNIBUS GENERAL SAN MARTIN SAC;LINEA 670;1022479;201903
201301;COLECTIVO;MUNICIPAL;-;SPEN NORBERTO MARIO;LINEA 507B;98601;201903
201301;COLECTIVO;MUNICIPAL;-;TRANSPORTE LA FE DE LUJAN SRL;LINEA 503E;58485;201903
201301;COLECTIVO;MUNICIPAL;-;TRANSPORTE LA UNION SA;LINEA SUR MUNICIPAL;152699;201903
201301;COLECTIVO;MUNICIPAL;-;TREINTA DE AGOSTO;LINEA 500F;209571;201903
201301;COLECTIVO;MUNICIPAL;-;TREINTA DE AGOSTO;LINEA 502C;5766;201903
201301;COLECTIVO;MUNICIPAL;-;TREINTA DE AGOSTO;LINEA 503D;30569;201903
201301;COLECTIVO;MUNICIPAL;-;TREINTA DE AGOSTO;LINEA 505B;8434;201903
201301;COLECTIVO;MUNICIPAL;-;TREINTA DE AGOSTO;LINEA 506D;18745;201903
201301;COLECTIVO;MUNICIPAL;-;TREINTA DE AGOSTO;LINEA 507;463313;201903
201301;COLECTIVO;MUNICIPAL;-;TREINTA DE AGOSTO;LINEA 508B;18881;201903
201301;COLECTIVO;MUNICIPAL;-;TREINTA DE AGOSTO;LINEA 509B;15829;201903
201301;COLECTIVO;MUNICIPAL;-;TREINTA DE AGOSTO;LINEA 513B;8341;201903
201301;COLECTIVO;MUNICIPAL;-;UNION PLATENSE SRL;LINEA 518C;3475;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;LINEA 622;599073;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I;LINEA 628;92069;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL;LINEA 523;173146;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;CIA LA PAZ AMADOR MOURE SACIFIYA;LINEA 542;282295;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;CIA LA PAZ AMADOR MOURE SACIFIYA;LINEA 551;218695;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;COMPA¥ÖA DE OMNIBUS 25 DE MAYO LINEA 278;LINEA 585;570413;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;COMPA¥IA MICROOMNIBUS LA COLORADA SACI;LINEA 505 D;836;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;COMPA¥ÖA MICROOMNIBUS TEMPERLEY SRL;LINEA 549;58516;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EL URBANO SRL;LINEA 527;114205;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EMPRESA 501 SA;LINEA 501 A;1195171;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EMPRESA CINCO DE AGOSTO S.R.L.;LINEA 524;238052;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EMPRESA CIUDAD DE SAN FERNANDO SA;LINEA 710;724870;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EMPRESA DE TRANSPORTES EL LITORAL S.A.;LINEA 749;1100854;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EMPRESA J.M. EZEIZA S.R.L.;LINEA 532;489551;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EMPRESA LINEA 216 S.A.T.;LINEA 504A;1514960;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EMPRESA LINEA 216 S.A.T.;LINEA 634;498621;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL;LINEA 548;252959;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EMPRESA MONTE GRANDE S.A. LINEA 501;LINEA 501C;2089086;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EXPRESO ARSENO SRL;LINEA 514;875603;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EXPRESO VILLA GALICIAÿ SAN JOSE S.A.;LINEA 510A;108187;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EXPRESO VILLA GALICIAÿ SAN JOSE S.A.;LINEA 564;270109;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EXPRESO VILLA NUEVA S.A.;LINEA 580;196512;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;EXPRESO VILLA NUEVA S.A.;LINEA 582;436730;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;GENERAL TOMAS GUIDO S.A.C.I.F.;LINEA 505;354590;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;GENERAL TOMAS GUIDO S.A.C.I.F.;LINEA 570;400511;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;LA CABA¥A S.A.;LINEA 624;857896;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;LA PRIMERA DE GRAND BOURG S.A.;LINEA 740;497106;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;LA PRIMERA DE MALVINAS ARGENTINAS UTE;LINEA 501I;322647;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS;LINEA 630;567593;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;LINEA SESENTA SA;LINEA 503 B;247925;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS AVENIDA S.A.;LINEA 520B;384056;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS ESTE S.A;LINEA 521 A;191226;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS ESTE S.A;LINEA 526;397319;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS GENERAL SAN MARTIN SAC;LINEA 707;1080111;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS PRIMERA JUNTA S.A;LINEA 501E;20436;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS PRIMERA JUNTA S.A;LINEA 504C;78505;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS PRIMERA JUNTA S.A;LINEA 583;226885;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS QUILMES S.A.C.I. Y F.;LINEA 584;285672;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS QUILMES S.A.C.I. Y F.;LINEA 603;520046;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS QUILMES S.A.C.I. Y F.;LINEA 619;313252;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS TIGRE S.A.;LINEA 505A;40532;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS TIGRE S.A.;LINEA 508A;110486;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;MICRO OMNIBUS TIGRE S.A.;LINEA 513A;36005;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;NUEVO IDEAL S.A.;LINEA 620;2500946;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;SAN VICENTE S.A. DE TRANSPORTES;LINEA 506C;702285;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;SAN VICENTE S.A. DE TRANSPORTES;LINEA 521B;59843;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;SARGENTO CABRAL S.A.DE TRANSPORTE;LINEA 741;148287;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;TRANSPORTE DEL SUR S.R.L.;LINEA 515;517235;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;TRANSPORTE IDEAL SAN JUSTO S.A.;LINEA 621;492303;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;TRANSPORTES LA PERLITA S.A.;LINEA 501G;4138679;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.;LINEA 500D;1390697;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;YITOS S.A.;LINEA 541;315290;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;YITOS S.A.;LINEA 543;456753;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.1.;YITOS S.A.;LINEA 544;278507;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA;LINEA 6JUL;23089;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;EMPRESA DE TRANSPORTES SANTA RITA  SRL;LINEA 500B;18171;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;EMPRESA J.M. EZEIZA S.R.L.;LINEA 518;1016096;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;EMPRESA NUEVE DE JULIO S.A.T.;LINEA 508C;20436;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;EMPRESA NUEVE DE JULIO S.A.T.;LINEA 561B;20789;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;EMPRESA NUEVE DE JULIO S.A.T.;LINEA OESTE;1022128;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.;LINEA 501B;313295;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;EMRESA MONTERREY S.R.L.;LINEA 506A;117962;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;EXPRESO EMPALME LOBOS S.R.L.;LINEA 501D;31556;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;EXPRESO EMPALME LOBOS S.R.L.;LINEA 502A;2783;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;LA CENTRAL DE ESCOBAR SA;LINEA 520A;542143;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;LA PRIMERA DE LA ESCONDIDA SRL;LINEA 509;98388;201903
201301;COLECTIVO;MUNICIPAL;U.M.A.2.;MICRO OMNIBUS GRAL PACHECO SRL;LINEA 721;964675;201903
